order_id,product_id,quantity,unit_price,line_total
9456,8,4,3.91,15.64
9456,28,1,9.84,9.84
9826,1,5,8.68,43.40
9826,5,5,5.62,28.10
9826,18,5,1.64,8.20
14146,4,4,0.93,3.72
14146,14,4,9.51,38.04
14146,24,4,8.32,33.28
14146,30,2,1.29,2.58
14146,34,3,1.42,4.26
16900,20,5,8.41,42.05
24038,2,5,0.73,3.65
24038,7,1,3.31,3.31
25069,10,4,0.52,2.08
25069,13,1,9.14,9.14
25069,15,4,4.53,18.12
25069,28,3,9.84,29.52
25069,29,3,2.69,8.07
41278,4,5,0.93,4.65
41278,13,3,9.14,27.42
43754,4,4,0.93,3.72
43754,11,1,2.59,2.59
43754,14,5,9.51,47.55
52588,6,1,7.81,7.81
52588,13,5,9.14,45.70
52588,28,5,9.84,49.20
52588,32,4,1.49,5.96
52588,36,5,9.03,45.15
65540,6,1,7.81,7.81
65540,24,5,8.32,41.60
81887,5,1,5.62,5.62
81887,23,4,5.59,22.36
81887,28,5,9.84,49.20
81887,30,1,1.29,1.29
93671,1,4,8.68,34.72
93671,27,4,6.55,26.20
101391,23,5,5.59,27.95
106555,26,3,6.95,20.85
115148,12,5,6.89,34.45
115148,13,3,9.14,27.42
115148,34,1,1.42,1.42
121898,21,1,0.92,0.92
121898,24,1,8.32,8.32
121898,35,2,5.37,10.74
140432,28,4,9.84,39.36
155965,1,2,8.68,17.36
155965,13,4,9.14,36.56
155965,18,4,1.64,6.56
155965,36,3,9.03,27.09
165899,4,3,0.93,2.79
165899,8,1,3.91,3.91
165899,9,5,7.04,35.20
165899,10,5,0.52,2.60
165899,16,4,4.04,16.16
170946,8,1,3.91,3.91
170946,16,4,4.04,16.16
170946,17,5,3.33,16.65
170946,22,3,5.39,16.17
170946,28,3,9.84,29.52
176776,2,1,0.73,0.73
176776,31,1,4.54,4.54
180571,16,5,4.04,20.20
180571,32,3,1.49,4.47
185202,16,1,4.04,4.04
185202,19,2,8.88,17.76
185202,27,1,6.55,6.55
185202,34,3,1.42,4.26
190805,34,5,1.42,7.10
192242,2,4,0.73,2.92
192242,4,1,0.93,0.93
192242,7,5,3.31,16.55
192242,10,3,0.52,1.56
192242,31,4,4.54,18.16
202685,9,4,7.04,28.16
226655,8,5,3.91,19.55
226655,10,2,0.52,1.04
226655,20,3,8.41,25.23
226655,27,5,6.55,32.75
226655,35,3,5.37,16.11
227078,9,3,7.04,21.12
255636,3,1,9.31,9.31
255636,15,3,4.53,13.59
259337,6,4,7.81,31.24
259337,15,3,4.53,13.59
259337,20,2,8.41,16.82
259337,29,1,2.69,2.69
296322,7,2,3.31,6.62
296322,16,1,4.04,4.04
296322,22,1,5.39,5.39
309504,13,3,9.14,27.42
309504,34,2,1.42,2.84
313967,9,5,7.04,35.20
313967,21,1,0.92,0.92
313967,28,5,9.84,49.20
313967,33,5,9.8,49.00
315740,25,5,4.05,20.25
315740,26,4,6.95,27.80
315740,31,3,4.54,13.62
315897,10,1,0.52,0.52
315897,12,4,6.89,27.56
349505,5,2,5.62,11.24
349505,6,5,7.81,39.05
349505,7,5,3.31,16.55
349505,21,1,0.92,0.92
349505,26,1,6.95,6.95
353201,9,4,7.04,28.16
353201,12,2,6.89,13.78
353201,16,1,4.04,4.04
353201,23,5,5.59,27.95
358948,13,2,9.14,18.28
358948,14,1,9.51,9.51
358948,20,5,8.41,42.05
358948,29,2,2.69,5.38
363416,13,2,9.14,18.28
363416,24,5,8.32,41.60
388010,3,4,9.31,37.24
388010,7,4,3.31,13.24
388010,14,5,9.51,47.55
388010,15,4,4.53,18.12
392532,16,2,4.04,8.08
392532,26,5,6.95,34.75
392532,32,4,1.49,5.96
392561,6,4,7.81,31.24
392561,15,4,4.53,18.12
392561,29,5,2.69,13.45
392906,28,4,9.84,39.36
395731,7,3,3.31,9.93
404155,13,1,9.14,9.14
444165,15,2,4.53,9.06
444165,21,2,0.92,1.84
444165,22,4,5.39,21.56
453684,4,5,0.93,4.65
453684,12,2,6.89,13.78
453684,20,4,8.41,33.64
453684,23,3,5.59,16.77
453684,26,4,6.95,27.80
456355,21,3,0.92,2.76
457855,6,3,7.81,23.43
457855,18,1,1.64,1.64
457855,22,1,5.39,5.39
457855,26,2,6.95,13.90
457855,27,3,6.55,19.65
461983,6,5,7.81,39.05
461983,12,2,6.89,13.78
461983,28,4,9.84,39.36
461983,34,4,1.42,5.68
463169,4,4,0.93,3.72
463169,33,5,9.8,49.00
466994,4,2,0.93,1.86
466994,19,2,8.88,17.76
466994,27,3,6.55,19.65
466994,32,1,1.49,1.49
484398,21,2,0.92,1.84
484398,23,5,5.59,27.95
484398,28,2,9.84,19.68
484398,31,3,4.54,13.62
518583,6,2,7.81,15.62
518583,16,2,4.04,8.08
518583,21,4,0.92,3.68
518583,29,5,2.69,13.45
518583,35,3,5.37,16.11
524505,13,5,9.14,45.70
524505,27,5,6.55,32.75
540185,3,3,9.31,27.93
542001,31,3,4.54,13.62
553612,2,4,0.73,2.92
562610,3,5,9.31,46.55
562610,26,1,6.95,6.95
562610,30,5,1.29,6.45
562610,35,4,5.37,21.48
563133,3,4,9.31,37.24
563133,8,3,3.91,11.73
563133,18,2,1.64,3.28
563133,24,3,8.32,24.96
563453,8,2,3.91,7.82
569328,7,3,3.31,9.93
569328,15,2,4.53,9.06
569328,16,3,4.04,12.12
569328,18,1,1.64,1.64
569328,19,5,8.88,44.40
570338,12,1,6.89,6.89
570338,26,1,6.95,6.95
570338,31,1,4.54,4.54
570338,35,1,5.37,5.37
580908,5,5,5.62,28.10
580908,26,5,6.95,34.75
580908,32,2,1.49,2.98
580908,36,2,9.03,18.06
587950,10,2,0.52,1.04
587950,14,2,9.51,19.02
587950,33,3,9.8,29.40
594217,21,2,0.92,1.84
594217,27,2,6.55,13.10
611805,17,1,3.33,3.33
611805,18,5,1.64,8.20
611805,27,2,6.55,13.10
626129,2,5,0.73,3.65
626129,5,5,5.62,28.10
626129,7,2,3.31,6.62
626129,19,3,8.88,26.64
626129,32,4,1.49,5.96
630921,9,4,7.04,28.16
630921,12,1,6.89,6.89
630921,29,2,2.69,5.38
630921,33,4,9.8,39.20
630921,34,1,1.42,1.42
642978,1,5,8.68,43.40
642978,26,3,6.95,20.85
642978,31,3,4.54,13.62
644179,16,3,4.04,12.12
646034,2,3,0.73,2.19
646034,10,5,0.52,2.60
646034,11,3,2.59,7.77
647588,8,4,3.91,15.64
647588,11,5,2.59,12.95
647588,17,2,3.33,6.66
647588,34,2,1.42,2.84
656089,5,5,5.62,28.10
656089,10,3,0.52,1.56
668472,3,2,9.31,18.62
687950,1,2,8.68,17.36
700785,2,1,0.73,0.73
700785,19,5,8.88,44.40
700785,21,2,0.92,1.84
700785,27,5,6.55,32.75
700785,30,1,1.29,1.29
709075,3,5,9.31,46.55
709075,25,4,4.05,16.20
716944,35,1,5.37,5.37
720417,2,4,0.73,2.92
720417,30,4,1.29,5.16
720417,35,1,5.37,5.37
727613,35,1,5.37,5.37
730553,15,2,4.53,9.06
730553,22,2,5.39,10.78
730553,28,3,9.84,29.52
754909,5,3,5.62,16.86
754909,7,2,3.31,6.62
754909,13,5,9.14,45.70
754909,19,3,8.88,26.64
766948,17,1,3.33,3.33
766948,24,1,8.32,8.32
766948,33,3,9.8,29.40
766948,36,5,9.03,45.15
786618,16,3,4.04,12.12
804081,8,3,3.91,11.73
804081,9,2,7.04,14.08
825761,6,4,7.81,31.24
825761,10,2,0.52,1.04
839103,11,3,2.59,7.77
839103,21,2,0.92,1.84
839103,27,5,6.55,32.75
839103,30,4,1.29,5.16
846147,12,5,6.89,34.45
846147,18,2,1.64,3.28
846147,25,5,4.05,20.25
846147,35,4,5.37,21.48
852358,15,5,4.53,22.65
880252,1,2,8.68,17.36
880252,2,5,0.73,3.65
880252,19,1,8.88,8.88
880252,28,2,9.84,19.68
891466,26,2,6.95,13.90
924184,17,5,3.33,16.65
927009,26,3,6.95,20.85
954868,24,5,8.32,41.60
959463,9,1,7.04,7.04
959463,12,2,6.89,13.78
959463,24,3,8.32,24.96
959463,31,2,4.54,9.08
964271,20,3,8.41,25.23
964271,24,5,8.32,41.60
964271,30,3,1.29,3.87
965288,22,3,5.39,16.17
982895,1,2,8.68,17.36
987366,17,4,3.33,13.32
987366,18,1,1.64,1.64
987366,26,3,6.95,20.85
999248,14,5,9.51,47.55
999248,20,5,8.41,42.05
999248,32,3,1.49,4.47
1007102,4,3,0.93,2.79
1007102,11,4,2.59,10.36
1045818,11,4,2.59,10.36
1045818,31,1,4.54,4.54
1068636,9,5,7.04,35.20
1068636,12,2,6.89,13.78
1068636,14,1,9.51,9.51
1068636,24,2,8.32,16.64
