order_id,order_datetime,customer_id,total_amount,num_items
9456,2024-02-10T16:34:41.649865,15,25.48,2
9826,2024-02-02T04:09:06.408504,29,79.70,3
14146,2024-02-06T16:23:24.778076,24,81.88,5
16900,2024-02-02T13:57:20.131989,2,42.05,1
24038,2024-02-02T17:24:11.305454,13,6.96,2
25069,2024-02-05T17:42:38.119566,24,66.93,5
41278,2024-02-03T02:53:52.397847,5,32.07,2
43754,2024-02-10T14:30:33.514961,11,53.86,3
52588,2024-02-05T11:26:47.618934,6,153.82,5
65540,2024-02-01T22:58:40.402046,8,49.41,2
81887,2024-02-01T07:56:13.572767,12,78.47,4
93671,2024-02-05T18:06:17.022309,11,60.92,2
101391,2024-02-05T07:24:50.150299,8,27.95,1
106555,2024-02-02T04:52:13.306013,12,20.85,1
115148,2024-02-02T11:55:50.811927,30,63.29,3
121898,2024-02-02T11:14:50.171269,28,19.98,3
140432,2024-02-02T03:29:38.212704,25,39.36,1
155965,2024-02-01T22:11:33.127602,8,87.57,4
165899,2024-02-03T14:11:27.466509,2,60.66,5
170946,2024-02-02T16:17:16.608708,20,82.41,5
176776,2024-02-07T09:03:44.852274,29,5.27,2
180571,2024-02-06T07:12:26.116618,8,24.67,2
185202,2024-02-01T02:50:56.025960,27,32.61,4
190805,2024-02-04T12:37:39.521621,7,7.10,1
192242,2024-02-06T03:09:52.185247,20,40.12,5
202685,2024-02-01T10:43:38.207535,17,28.16,1
226655,2024-02-10T10:29:30.788826,26,94.68,5
227078,2024-02-05T14:22:24.927731,15,21.12,1
255636,2024-02-05T15:29:53.249664,11,22.90,2
259337,2024-02-02T02:31:23.770063,9,64.34,4
296322,2024-02-06T07:50:01.143507,21,16.05,3
309504,2024-02-10T07:28:36.224749,11,30.26,2
313967,2024-02-09T00:46:27.017763,24,134.32,4
315740,2024-02-10T16:54:55.758513,7,61.67,3
315897,2024-02-05T11:44:45.255682,23,28.08,2
349505,2024-02-10T23:47:15.119958,14,74.71,5
353201,2024-02-01T13:31:06.504199,6,73.93,4
358948,2024-02-05T20:19:52.946470,27,75.22,4
363416,2024-02-07T12:58:55.432318,11,59.88,2
388010,2024-02-08T23:03:50.459925,25,116.15,4
392532,2024-02-02T00:04:16.002543,21,48.79,3
392561,2024-02-08T23:23:44.230042,17,62.81,3
392906,2024-02-06T19:45:59.209052,24,39.36,1
395731,2024-02-03T01:14:05.573976,10,9.93,1
404155,2024-02-05T03:56:08.363980,18,9.14,1
444165,2024-02-04T04:18:26.230364,12,32.46,3
453684,2024-02-08T23:39:29.369675,26,96.64,5
456355,2024-02-06T00:25:08.780310,23,2.76,1
457855,2024-02-06T21:03:45.844477,2,64.01,5
461983,2024-02-10T09:52:08.736224,22,97.87,4
463169,2024-02-06T14:18:29.130010,4,52.72,2
466994,2024-02-08T16:19:15.454201,24,40.76,4
484398,2024-02-01T22:46:16.976082,11,63.09,4
518583,2024-02-05T08:22:43.931999,18,56.94,5
524505,2024-02-07T03:09:06.776056,30,78.45,2
540185,2024-02-05T11:12:49.989843,16,27.93,1
542001,2024-02-01T07:51:36.649551,19,13.62,1
553612,2024-02-02T02:58:31.894545,13,2.92,1
562610,2024-02-06T04:13:45.950176,16,81.43,4
563133,2024-02-05T20:19:01.483178,22,77.21,4
563453,2024-02-10T11:37:21.369956,1,7.82,1
569328,2024-02-06T22:40:26.605815,15,77.15,5
570338,2024-02-01T08:55:36.437830,20,23.75,4
580908,2024-02-07T17:53:08.660581,7,83.89,4
587950,2024-02-06T08:55:37.790501,13,49.46,3
594217,2024-02-06T07:19:31.741218,2,14.94,2
611805,2024-02-05T09:08:20.918206,23,24.63,3
626129,2024-02-04T09:42:12.144623,5,70.97,5
630921,2024-02-05T14:23:54.587517,17,81.05,5
642978,2024-02-10T19:19:01.001633,3,77.87,3
644179,2024-02-06T19:07:39.189555,2,12.12,1
646034,2024-02-02T17:10:09.608163,10,12.56,3
647588,2024-02-08T23:08:27.547731,6,38.09,4
656089,2024-02-06T13:27:04.703619,17,29.66,2
668472,2024-02-08T17:24:59.435654,26,18.62,1
687950,2024-02-06T19:34:25.766977,2,17.36,1
700785,2024-02-07T10:07:55.885720,25,81.01,5
709075,2024-02-06T05:07:35.885504,10,62.75,2
716944,2024-02-07T01:06:20.506926,26,5.37,1
720417,2024-02-01T10:37:23.339097,6,13.45,3
727613,2024-02-01T04:45:43.919942,25,5.37,1
730553,2024-02-02T02:34:47.058147,10,49.36,3
754909,2024-02-01T19:11:48.847387,21,95.82,4
766948,2024-02-01T11:22:26.063670,4,86.20,4
786618,2024-02-07T17:05:48.588912,1,12.12,1
804081,2024-02-09T20:00:56.574062,18,25.81,2
825761,2024-02-09T00:06:17.976375,20,32.28,2
839103,2024-02-05T00:31:30.030424,24,47.52,4
846147,2024-02-08T00:36:10.594170,2,79.46,4
852358,2024-02-05T22:47:13.916082,24,22.65,1
880252,2024-02-07T08:55:45.165334,28,49.57,4
891466,2024-02-08T01:35:43.307715,26,13.90,1
924184,2024-02-07T10:08:31.411560,29,16.65,1
927009,2024-02-02T11:05:14.026902,13,20.85,1
954868,2024-02-05T16:47:06.716512,16,41.60,1
959463,2024-02-06T10:02:13.181648,28,54.86,4
964271,2024-02-08T20:40:07.857442,28,70.70,3
965288,2024-02-10T12:24:33.375304,6,16.17,1
982895,2024-02-08T12:07:43.892196,8,17.36,1
987366,2024-02-01T12:22:33.828949,26,35.81,3
999248,2024-02-04T06:32:54.109637,22,94.07,3
1007102,2024-02-06T14:18:29.007993,15,13.15,2
1045818,2024-02-05T22:00:48.452184,24,14.90,2
1068636,2024-02-04T18:13:30.308442,9,79.67,5
1074798,2024-02-01T09:13:13.025368,5,88.19,4
1090331,2024-02-03T15:36:49.332048,22,18.37,3
1100715,2024-02-05T13:13:01.867405,6,0.73,1
1105723,2024-02-09T14:32:29.157456,19,46.78,4
1129036,2024-02-10T01:13:53.937246,12,59.38,4
1134621,2024-02-04T12:01:04.485262,4,93.82,5
1139622,2024-02-07T13:46:13.463133,20,36.56,1
1146850,2024-02-05T01:35:33.220554,20,23.12,3
1159657,2024-02-08T02:59:55.219847,7,26.95,1
1164197,2024-02-08T11:25:21.391128,15,50.86,2
1168352,2024-02-05T13:09:33.520459,8,61.97,2
1173238,2024-02-03T01:14:13.742373,12,46.68,2
1186580,2024-02-01T11:06:55.636581,3,70.96,3
1195170,2024-02-05T20:05:27.059728,7,81.45,5
1203624,2024-02-10T19:09:40.822922,13,47.87,3
1261512,2024-02-10T10:50:47.417787,26,28.82,2
1275512,2024-02-06T12:14:47.824278,8,47.66,4
1287334,2024-02-01T04:36:18.506930,19,40.40,2
1297730,2024-02-09T03:32:59.281812,13,16.84,2
1305010,2024-02-07T18:23:38.078477,24,53.64,3
1313885,2024-02-08T14:49:14.231560,25,113.31,5
1316407,2024-02-01T15:58:22.579351,30,93.09,5
1318299,2024-02-01T10:53:47.929439,14,14.08,1
1331394,2024-02-06T09:34:20.479294,3,5.40,2
1339127,2024-02-06T14:56:01.808309,19,87.58,3
1348721,2024-02-06T16:05:36.673665,4,57.98,3
1384502,2024-02-06T06:45:37.735382,21,76.56,3
1403627,2024-02-06T07:33:27.893868,21,54.86,5
1420509,2024-02-02T22:01:33.992393,6,6.62,1
1483293,2024-02-07T09:09:29.996643,26,84.32,4
1504056,2024-02-06T00:07:43.378331,30,26.18,3
1505933,2024-02-10T07:16:58.891088,5,6.62,1
1508175,2024-02-06T18:26:23.949313,8,99.72,4
1512647,2024-02-05T12:26:49.579365,27,5.38,1
1514245,2024-02-08T14:11:27.693591,25,76.82,5
1524435,2024-02-07T03:11:01.498459,10,45.45,4
1543422,2024-02-05T05:18:07.807619,11,13.90,1
1544943,2024-02-04T07:38:56.785915,17,37.53,3
1545654,2024-02-08T17:54:50.201415,8,35.38,4
1570340,2024-02-02T00:13:19.115503,25,16.55,1
1587674,2024-02-05T02:21:08.991421,17,50.86,3
1605062,2024-02-02T23:16:35.949932,24,21.56,1
1610252,2024-02-06T15:54:16.032841,9,26.95,3
1624210,2024-02-10T14:15:51.788264,10,64.94,5
1635505,2024-02-06T11:15:52.028880,16,117.42,3
1651190,2024-02-06T04:02:21.587770,9,3.87,1
1652901,2024-02-01T22:47:43.067998,18,30.83,4
1672500,2024-02-05T04:39:01.660906,15,73.24,2
1705049,2024-02-06T03:11:04.718963,11,44.86,2
1715286,2024-02-01T13:46:41.296890,2,105.28,5
1719093,2024-02-10T12:29:33.223238,5,25.91,3
1753630,2024-02-06T13:52:36.085877,11,54.14,4
1764645,2024-02-02T01:43:41.331882,30,49.69,3
